iter,v_fun_0,delta_q,norm_delta_q,acc_reward
2720000,2.927097277460708,-0.00011362351659115236,1.2086319060976185,-1534494
2730000,2.9263609273291764,-5.798094738027564e-05,1.1437501442972475,-1540055
2740000,2.9272698492291407,0.010721317837343597,1.2337039944983355,-1546295
2750000,2.925425077811455,-0.03148028818338921,1.2089150104789812,-1551886
2760000,2.9258984553470038,-0.0032450627195478522,1.163833726882283,-1557340
2770000,2.9257680314678165,-0.0028102914323671047,1.1789321604582668,-1563510
2780000,2.928022594343306,0.0019402930854986037,1.1770329295617834,-1569626
2790000,2.9267716208876884,-0.0006387070545523461,1.105186485812404,-1574817
2800000,2.9265865887018196,0.0003266667393815477,1.2037674317653826,-1580992
2810000,2.927411362968782,-0.0004040443787873373,1.2166686289382382,-1587351
2820000,2.927618780513261,-0.0008410658130637242,1.1720987949039485,-1593186
2830000,2.9266071123790707,0.0108090746410915,1.0637663188923567,-1598270
2840000,2.927286474395665,0.011353714412507388,1.2376625766696352,-1604335
2850000,2.9271173426426524,-0.0018479087665308456,1.1375113770064516,-1609933
2860000,2.9273721595239155,-0.00041079516283032343,1.0124364241342714,-1614474
2870000,2.9281546044711844,-0.001487072371204128,1.1554230029657524,-1620405
2880000,2.9262982989290847,0.0014462466125574707,1.0445738932330366,-1625615
2890000,2.9245840305268316,0.0007886631416840957,1.105852246863431,-1631538
2900000,2.923707026208357,-0.0031931403024882516,1.2274357574363932,-1637299
2910000,2.924465755476149,0.009192640062587097,1.1488092251914912,-1643232
2920000,2.9250631122682424,0.011582054571754862,1.095008509349077,-1648438
2930000,2.926669051138631,0.001313531431549309,1.2023726780912638,-1653982
2940000,2.926620257817286,-4.085698548561827e-05,1.1325929385716562,-1659104
2950000,2.924882301356324,-0.0012305824902837726,1.1521717315320812,-1664723
2960000,2.9244466030198666,-0.0005022988464589394,1.0876367265428755,-1670041
2970000,2.9242723313643424,0.0002953717740872245,1.0718089239803856,-1675578
2980000,2.924918127867443,0.014186072558087497,0.9903262788500693,-1680492
2990000,2.9253220497770895,0.01356232320516573,1.0467703073155494,-1685626
3000000,2.924688529170423,-0.0012524322240233872,1.044237337169142,-1690717
3010000,2.9251512103326256,-0.0024993348663464488,1.0829124248284254,-1696494
3020000,2.92490121796162,0.020449263295870882,1.0941457654423068,-1702563
3030000,2.925281166898291,-0.038864045826050075,1.124290833428909,-1707989
3040000,2.923792968570548,-0.003663087912623327,1.0981886117571946,-1713697
3050000,2.9250912367626842,7.561736853816548e-05,1.1729300960559366,-1718758
3060000,2.925810548820194,-0.044853510248834126,1.098907216768641,-1724463
3070000,2.925074914292092,-0.021489488075751982,1.0404553464567692,-1729577
3080000,2.9256844797363453,0.003655592403023357,1.1110036148258455,-1735626
3090000,2.9243251429557375,-0.0021053148979393995,1.1026685856728116,-1741198
3100000,2.9244503912284414,0.0002909909788776842,1.1477533427329412,-1747636
3110000,2.9248645759917262,-0.017256666106838212,1.0829681599917844,-1753428
3120000,2.924621926416974,0.0003191134388468483,1.0363642977417404,-1758872
3130000,2.924957618120891,0.00032037588536633246,1.0577634388299697,-1765009
3140000,2.9247899029134454,0.00031094597929041755,1.0240551980564756,-1770643
3150000,2.9246655880886445,-6.759755828696735e-05,1.0748133584451127,-1776463
3160000,2.924870410782596,-0.0018542076484805436,1.149811634500249,-1782205
3170000,2.9252352841059306,-0.0007671276943795741,1.090763709114525,-1788192
3180000,2.924216321509741,0.021218782770716905,1.0649734269815012,-1793897
3190000,2.9223896367265927,-0.002022576446682219,1.0863148861092844,-1799391
3200000,2.922589671429962,0.02993132065289983,1.058417690411808,-1804917
3210000,2.924239377570698,-0.0010383463683845346,1.0745277507622277,-1810580
3220000,2.9224616035893476,0.00011685308730770433,1.1492916078956072,-1817012
3230000,2.921473307476918,8.904220922642685e-05,1.097837336974389,-1822936
3240000,2.922274586657132,0.00011742238196582057,1.0230784545364673,-1828506
3250000,2.92287007512925,0.012257067363743409,1.0317663572147835,-1834179
3260000,2.923763460053092,-0.000439934763616205,1.113945792183541,-1839747
3270000,2.924716196825202,0.0004214192437684689,1.0695274337816538,-1845605
3280000,2.924545043463709,0.0016873221202051887,1.090166523633969,-1850834
3290000,2.9252503414693853,8.148910764341896e-05,1.0255897745598963,-1856476
3300000,2.9232798701646803,-0.004680544107662389,1.1696209811096103,-1862946
3310000,2.922660822619192,0.01203217781462644,1.0715192415209944,-1869299
3320000,2.9224123609612946,0.0006837394485370757,1.0482142427753327,-1875216
3330000,2.9232769593628216,-0.04085109264156419,1.013648282099387,-1880758
3340000,2.923936185659597,0.0005676315434856269,1.1004481609039864,-1885763
3350000,2.924296600743893,0.02079490183429547,1.0361223187766235,-1891698
3360000,2.9233152777969464,-4.762993277167057e-05,1.1058137400387673,-1898060
3370000,2.9233591569245827,0.0011327562556120827,1.0692237122859323,-1903921
3380000,2.9231047729123394,-0.04001561602721109,0.9900436089131605,-1909398
3390000,2.923599950275798,0.00626236979002643,1.040187242104987,-1915284
3400000,2.9244050999740936,-0.0011580703914423494,1.066076864958544,-1921706
3410000,2.924738376290183,0.0002784847151816355,1.025584776367545,-1928231
3420000,2.92461068167135,0.00055237784024258,0.9727829077401615,-1933759
3430000,2.923841155986945,0.001605549266144297,0.990659934865398,-1939654
3440000,2.923748206508425,0.014024358520534717,1.0286745276972487,-1944735
3450000,2.9237494946492575,0.0016157970268516227,1.0939931528488749,-1950579
3460000,2.9250461261593514,0.009059173770053762,1.0726290644879732,-1956343
3470000,2.924448925721938,-0.0002795469898382831,0.9727889557222948,-1962568
3480000,2.9256143237345564,-0.00038899575293841084,0.9601322184485209,-1968486
3490000,2.9250245719792787,0.00040181690396453077,0.9217743390885464,-1974676
3500000,2.9276558781975206,0.00029919800746201606,1.0265645197128266,-1980446
3510000,2.927012741246165,0.012383668625041512,0.9183128215022751,-1985501
3520000,2.928588349199529,0.0005793582801206618,1.012906071004246,-1990992
3530000,2.928529430682368,-0.001359286049414555,0.9995826256008722,-1996463
3540000,2.9278249344033616,-0.00033430704521681304,0.9464879449111323,-2001747
3550000,2.927136029246594,-1.583706606216904e-05,1.0073759359916101,-2007338
3560000,2.9265518175790843,0.00023514234802793555,0.9988480621609497,-2013093
3570000,2.926147611736598,-0.0006974341167846913,0.9935662517401866,-2018756
3580000,2.9250598771391516,-0.0003179575599348841,1.0195742033800925,-2024642
3590000,2.9257514444335344,-0.0006390854449634086,1.027743802238827,-2030696
3600000,2.9259743938913325,-0.00034701354729296303,1.0484660643278265,-2037084
3610000,2.9261681761630367,0.000986751303737584,1.0017402840964293,-2042957
3620000,2.927382072001751,-0.0017620255012589358,1.0243568359571702,-2049263
3630000,2.927051902834361,-0.00031266222927028284,0.904754714374365,-2054019
3640000,2.9275444758459805,-0.00472577925716955,1.0220533151187534,-2059930
3650000,2.927762121272703,9.787151766607126e-05,1.0265854152845773,-2065294
3660000,2.9279504363913595,0.00137818855114554,0.9508067650803798,-2070770
3670000,2.9274164982093143,0.00027119723083719657,1.0922274883168082,-2076244
3680000,2.927529283074409,-0.0001416892529229173,0.9846637432405949,-2081850
3690000,2.9276906963583498,0.00013323438986911353,0.8758467582028877,-2086786
3700000,2.9267288154514097,0.0005565983319728321,0.9854087275154676,-2092649
3710000,2.926980235307043,-0.0010393168335236993,0.9575761529114686,-2098232
3720000,2.928989424924583,0.003243801276184827,0.9791211981638472,-2103663
3730000,2.929878063273777,0.0003840435905047121,0.9919222307536555,-2109692
3740000,2.930262238883261,0.0003609064906623159,0.9861807630530954,-2115004
3750000,2.9303115452730792,-0.03810864277942585,0.9417981073725665,-2120684
3760000,2.9314444488518463,2.9368858265249846e-05,1.0273369396123484,-2126594
3770000,2.932012951852099,0.010324168080779543,1.0129431914946667,-2132406
3780000,2.9338235794769836,-0.003078755322420432,0.9510732926139429,-2138166
3790000,2.9362293024705917,0.009338990840460073,0.962993151331905,-2144183
3800000,2.9357783514584463,-0.03410308018413813,0.99531104262146,-2150437
3810000,2.935265027015883,-0.0336340348007764,0.9309883143167726,-2155792
3820000,2.935945459967775,0.0001832761240511353,1.0543283782514976,-2161563
3830000,2.934601026812138,0.0025881935434938818,0.9686550169981398,-2166778
3840000,2.933934100731845,-0.00027673890258166474,0.9962132547753009,-2172971
3850000,2.9347883160752866,0.0010896126212536807,0.9846863787408829,-2178670
3860000,2.9332320810418047,-0.027796441153930058,0.9124397459260435,-2184182
3870000,2.9333451175846075,-0.03728443745990299,0.895688633331468,-2190040
3880000,2.9330187722416254,-0.02745726588459315,0.8934191780087835,-2195840
3890000,2.9327134578485596,0.00020968081334314063,0.9405616890534203,-2201546
